,Name,EMI,Price,Kilometers Driven,Owner,Year of Purchase,Fuel Type,Location,History
0,2011 Maruti Alto K10,"₹4,734/month","₹2,12,799","20,354 km",1st Owner,April 2011,Petrol,DELHI,Non-Accidental
1,2020 Maruti Swift,"₹12,110/month","₹5,44,399","6,623 km",1st Owner,January 2020,Petrol,DELHI,Non-Accidental
2,2021 Maruti Swift,"₹17,017/month","₹7,65,000",-,-,-,-,-,-
3,2017 Maruti Alto 800,"₹6,535/month","₹2,93,799","8,501 km",1st Owner,June 2017,Petrol,DELHI,Non-Accidental
4,2012 Maruti Alto K10,"₹3,908/month","₹1,75,699","42,321 km",1st Owner,January 2012,Petrol,DELHI,Non-Accidental
5,2013 Maruti Swift,"₹8,822/month","₹3,96,599","24,022 km",1st Owner,May 2013,Diesel,DELHI,Non-Accidental
6,2014 Maruti Swift,"₹8,744/month","₹3,93,099","24,708 km",1st Owner,February 2014,Petrol,DELHI,Non-Accidental
7,2015 Hyundai Eon,"₹6,177/month","₹2,77,699","14,940 km",1st Owner,-,Petrol,DELHI,Non-Accidental
8,2017 Datsun Redi Go,"₹5,481/month","₹2,46,399","20,467 km",2nd Owner,-,Petrol,DELHI,Non-Accidental
9,2017 Maruti Alto K10,"₹7,690/month","₹3,45,699","11,691 km",1st Owner,September 2017,Petrol,DELHI,Non-Accidental
10,2015 Maruti Alto 800,"₹6,202/month","₹2,78,799","17,637 km",1st Owner,-,Petrol,DELHI,Non-Accidental
11,2020 Hyundai AURA,"₹13,364/month","₹6,00,799","1,441 km",1st Owner,-,Petrol,DELHI,Non-Accidental
12,2014 Maruti Alto 800,"₹6,531/month","₹2,93,599","12,535 km",1st Owner,March 2014,Petrol,DELHI,Non-Accidental
13,2018 Hyundai Grand i10,"₹10,297/month","₹4,62,899","15,754 km",2nd Owner,June 2018,Petrol,DELHI,Non-Accidental
14,2019 Maruti Baleno,"₹13,300/month","₹5,97,899","11,080 km",1st Owner,January 2019,Petrol,DELHI,Non-Accidental
15,2011 Toyota Etios,"₹7,080/month","₹3,18,299","49,654 km",2nd Owner,February 2011,Petrol,DELHI,Non-Accidental
16,2016 Maruti Swift,"₹9,049/month","₹4,06,799","14,931 km",1st Owner,April 2016,Petrol,DELHI,Non-Accidental
17,2020 Maruti Baleno,"₹14,744/month","₹6,62,799","1,019 km",1st Owner,-,Petrol,DELHI,Non-Accidental
18,2020 Maruti Alto,"₹7,826/month","₹3,51,799","7,610 km",1st Owner,-,Petrol,DELHI,Non-Accidental
19,2017 Renault Kwid,"₹6,920/month","₹3,11,099","10,155 km",1st Owner,-,Petrol,DELHI,Non-Accidental
20,2018 Maruti Wagon R 1.0,"₹9,438/month","₹4,24,299","15,129 km",1st Owner,-,Petrol,DELHI,Non-Accidental
21,2012 Maruti Alto K10,"₹4,487/month","₹2,01,699","35,139 km",-,-,-,-,-
22,2015 Honda City,"₹14,788/month","₹6,64,799","16,679 km",-,-,-,-,-
23,2016 Maruti Alto K10,"₹6,740/month","₹3,03,000","13,289 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
24,2013 Maruti Alto 800,"₹4,238/month","₹1,90,499",-,-,-,-,-,-
25,2016 Honda Jazz,"₹11,674/month","₹5,24,799","30,737 km",1st Owner,November 2016,Petrol,NOIDA,Non-Accidental
26,2018 Maruti Alto 800,"₹7,234/month","₹3,25,199","11,961 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
27,2014 Hyundai Grand i10,"₹8,351/month","₹3,75,399","21,591 km",2nd Owner,-,Petrol,NOIDA,Non-Accidental
28,2013 Maruti Alto K10,"₹5,837/month","₹2,62,399","15,750 km",1st Owner,November 2013,Petrol,NOIDA,Non-Accidental
29,2017 Maruti Alto K10,"₹7,754/month","₹3,48,599","12,139 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
30,2014 Hyundai Grand i10,"₹8,424/month","₹3,78,699","16,795 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
31,2018 Maruti Alto 800,"₹6,994/month","₹3,14,399","8,490 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
32,2018 Maruti Swift,"₹10,281/month","₹4,62,199","12,268 km",1st Owner,June 2018,Petrol,NOIDA,Non-Accidental
33,2017 Maruti Alto 800,"₹6,208/month","₹2,79,099","5,636 km",2nd Owner,-,Petrol,NOIDA,Non-Accidental
34,2013 Maruti Swift,"₹7,461/month","₹3,35,399","29,449 km",1st Owner,January 2013,Diesel,NOIDA,Non-Accidental
35,2013 Maruti Swift Dzire,"₹8,128/month","₹3,65,399","33,554 km",1st Owner,November 2013,Diesel,NOIDA,Non-Accidental
36,2012 Maruti Alto K10,"₹5,214/month","₹2,34,399","49,179 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
37,2016 Maruti Ertiga,"₹14,254/month","₹6,40,799","24,744 km",1st Owner,September 2016,Diesel,NOIDA,Non-Accidental
38,2017 Maruti Baleno,"₹13,035/month","₹5,86,000",-,-,-,-,-,-
39,2016 Maruti Alto K10,"₹6,506/month","₹2,92,499","25,360 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
40,2017 Maruti Alto 800,"₹6,627/month","₹2,97,899","18,797 km",2nd Owner,-,Petrol,NOIDA,Non-Accidental
41,2011 Maruti Alto,"₹3,159/month","₹1,42,000",-,-,-,-,-,-
42,2016 Maruti Swift,"₹9,427/month","₹4,23,799","29,893 km",1st Owner,February 2016,Petrol,NOIDA,Non-Accidental
43,2017 Maruti Alto 800,"₹6,940/month","₹3,11,999","2,147 km",1st Owner,July 2017,Petrol,NOIDA,Non-Accidental
44,2015 Maruti Ritz,"₹6,629/month","₹2,98,000",-,-,-,-,-,-
45,2011 Maruti Ritz,"₹4,480/month","₹2,01,399","41,762 km",-,-,-,-,-
46,2019 Maruti Alto K10,"₹8,606/month","₹3,86,899","9,180 km",-,-,-,-,-
47,2016 Maruti Baleno,"₹14,592/month","₹6,56,000",-,-,-,-,-,-
48,2017 Maruti Alto 800,"₹5,679/month","₹2,55,299","15,581 km",1st Owner,February 2017,Petrol,DELHI,Non-Accidental
49,2015 Maruti Alto 800,"₹5,519/month","₹2,48,099","38,703 km",1st Owner,-,Petrol,DELHI,Non-Accidental
50,2020 Maruti Alto,"₹8,664/month","₹3,89,499","3,403 km",1st Owner,October 2020,Petrol,DELHI,Non-Accidental
51,2012 Maruti Alto K10,"₹4,967/month","₹2,23,299","33,175 km",-,-,-,-,-
52,2014 Maruti Swift,"₹8,958/month","₹4,02,699","17,135 km",2nd Owner,April 2014,Petrol,DELHI,Non-Accidental
53,2010 Maruti SX4,"₹4,947/month","₹2,22,399","51,871 km",1st Owner,March 2010,Petrol,DELHI,Non-Accidental
54,2018 Maruti Alto 800,"₹7,314/month","₹3,28,799","4,313 km",2nd Owner,-,Petrol,DELHI,Non-Accidental
55,2013 Maruti Swift,"₹7,997/month","₹3,59,499","26,908 km",1st Owner,March 2013,Petrol,DELHI,Non-Accidental
56,2017 Maruti Wagon R 1.0,"₹9,225/month","₹4,14,699","12,808 km",2nd Owner,-,Petrol,DELHI,Non-Accidental
57,2011 Maruti Alto K10,"₹3,982/month","₹1,79,000",-,-,-,-,-,-
58,2016 Maruti Baleno,"₹12,317/month","₹5,53,699","14,897 km",1st Owner,-,Petrol,DELHI,Non-Accidental
59,2013 Maruti Alto 800,"₹4,956/month","₹2,22,799","46,286 km",1st Owner,-,Petrol,DELHI,Non-Accidental
60,2015 Maruti Swift,"₹9,788/month","₹4,40,000","20,517 km",1st Owner,-,Petrol,DELHI,Non-Accidental
61,2012 Hyundai i10,"₹6,206/month","₹2,79,000",-,-,-,-,-,-
62,2018 Maruti Alto 800,"₹6,758/month","₹3,03,799","15,838 km",1st Owner,April 2018,Petrol,DELHI,Non-Accidental
63,2010 Maruti Alto K10,"₹3,986/month","₹1,79,199","40,666 km",1st Owner,October 2010,Petrol,DELHI,Non-Accidental
64,2017 Maruti Alto 800,"₹5,864/month","₹2,63,599","18,113 km",1st Owner,September 2017,Petrol,DELHI,Non-Accidental
65,2020 Maruti New Wagon-R,"₹11,176/month","₹5,02,399","1,694 km",1st Owner,-,Petrol,DELHI,Non-Accidental
66,2015 Hyundai Grand i10,"₹9,209/month","₹4,14,000","27,389 km",1st Owner,-,Petrol,DELHI,Non-Accidental
67,2010 Maruti Wagon R 1.0,"₹3,953/month","₹1,77,699","5,78,889 km",1st Owner,October 2010,Petrol,DELHI,Non-Accidental
68,2014 Honda Amaze,"₹8,208/month","₹3,68,999","34,868 km",1st Owner,January 2014,Diesel,DELHI,Non-Accidental
69,2017 Hyundai Grand i10,"₹10,622/month","₹4,77,499","17,584 km",1st Owner,September 2017,Petrol,DELHI,Non-Accidental
70,2016 Maruti Swift,"₹10,722/month","₹4,82,000",-,-,-,-,-,-
71,2021 Maruti XL6,"₹26,248/month","₹11,80,000",-,-,-,-,-,-
72,2015 Maruti Swift,"₹10,161/month","₹4,56,799","34,227 km",1st Owner,-,Petrol,DELHI,Non-Accidental
73,2020 KIA SELTOS,"₹25,732/month","₹11,56,799","4,968 km",2nd Owner,February 2020,Petrol,DELHI,Non-Accidental
74,2011 Maruti Alto K10,"₹4,469/month","₹2,00,899","51,523 km",1st Owner,February 2011,Petrol,DELHI,Non-Accidental
75,2013 Hyundai Grand i10,"₹8,306/month","₹3,73,399","47,223 km",1st Owner,October 2013,Petrol,DELHI,Non-Accidental
76,2020 Maruti Alto,"₹8,486/month","₹3,81,499","3,276 km",1st Owner,September 2020,Petrol,DELHI,Non-Accidental
77,2013 Hyundai Grand i10,"₹8,887/month","₹3,99,499","21,843 km",1st Owner,September 2013,Petrol,DELHI,Non-Accidental
78,2013 Maruti Swift,"₹6,455/month","₹2,90,199","39,124 km",1st Owner,February 2013,Diesel,DELHI,Non-Accidental
79,2019 Maruti Swift,"₹12,771/month","₹5,74,099","17,672 km",1st Owner,-,Petrol,DELHI,Non-Accidental
80,2010 Honda City,"₹8,175/month","₹3,67,499","35,578 km",1st Owner,September 2010,Petrol,DELHI,Non-Accidental
81,2018 Maruti Alto 800,"₹6,989/month","₹3,14,199","5,851 km",-,-,-,-,-
82,2017 Maruti Alto 800,"₹6,050/month","₹2,71,999","26,772 km",1st Owner,July 2017,Petrol,NOIDA,Non-Accidental
83,2017 Hyundai Grand i10,"₹9,714/month","₹4,36,699","24,487 km",1st Owner,March 2017,Petrol,NOIDA,Non-Accidental
84,2010 Maruti Alto,"₹3,294/month","₹1,48,099","48,926 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
85,2017 Maruti Alto 800,"₹6,682/month","₹3,00,399","27,704 km",2nd Owner,May 2017,Petrol,NOIDA,Non-Accidental
86,2011 Hyundai i10,"₹4,827/month","₹2,17,000",-,-,-,-,-,-
87,2020 Maruti S PRESSO,"₹9,934/month","₹4,46,599","5,894 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
