,Date,Author,Vertical,Headline,Description
0,"Updated: Mar 6, 2019, 11:22 IST",Jyothi Prabhakar,Movies,Sivakarthikeyan reminds me of Rajini sir: Isha,"Eighteen years have been kind to her; those who saw Isha Koppikar that many years ago in En Swasa Kaatre, opposite Arvind Swami, will recognise her in a jiffy even now. Tell her that, and she sasses back, “Nothing has changed here either. Same people, same city, same attitude… everything’s the same even now.” And this sets the tone for a then-and-now chat with her. Prompt with her answers, candid, with a healthy dose of self-praise thrown in, Isha tells why she stopped acting in Tamil films, why she’s, for the lack of a better word, making a ‘comeback’ with Sivakarthikeyan’s movie with Ravi Kumar as a femme fatale, and what she’s been up to in all these years…
A film with Sivakarthikeyan, no less!
This project has been on for almost a year now. Last August, we had one schedule, then the January one this year got delayed and fell into February. We have one in September now.

So, a comeback?
I guess, yeah, you can call it that. Two years ago, I stepped into the south industry again with the Telugu movie Keshava, then did Looti in Kannada, I have another one lined up with Shivaraj sir… word got around and Ravi Kumar got in touch with me for this one, saying he has a role he wanted me to play. I played a cop in all of the movies mentioned above, but this one was full-on action, kind of Lara Croft-ish, and that got me interested.
A lot has changed in 18 years, has it?
Nothing has changed — I don’t know whether this is good or bad. But there still are no heroine-centric roles down south, no experimentation, the same kind of stories. New-age cinema seems to have flown right over Tamil cinema. In Bollywood, we now have films that are with the times, like Gully Boy, there are small-budget films that have done exceedingly well — that Vicky Donor wave that brought in Shubh Mangal Saavdhan, Bareilly Ki Barfi, Badhaai Ho… almost all of Ayushmann Khurrana’s films should have made people down south think about upgrading the art of movie making, but no… we’re in love with stereotypes.

The stars?
Oh, they too! They too! Arvind Swami is still around, Vijay is still at the top… when I focused back on south, I realised all my co-stars of 18 years ago are the one still rocking.

The going was good for you back then. Why did you leave?
I was studying. All of 15, just out of school, and I come from a family of doctors and educated people. So my dad said nothing doing. You must complete your graduation, or you are not stepping out of the house for anything. He said just in case your acting career doesn’t work out, you must have something to fall back upon. Well, that’s the system we live in, so I could hardly argue. So, I went on to complete BSc in Life Sciences. But between that, coming down south to do movies wasn’t possible. I kept modelling and doing music videos in Bombay, as I could juggle that because it was right there. The boarding, lodging, the distance meant I couldn’t juggle the schedules of Tamil films with that same ease. And when I turned 21, was done with studies and all, it was too late, I was well-settled in Mumbai.

Now, you are a mom. And the industry, especially down south, isn’t known to be fascinated with that ilk…
Yeah, I feel that; all the time. But not explicitly, not yet. I mean no one has said that to my face. Of course, Ramya Krishnan has done a great job with her career – she’s continued right through marriage and all. But when people here look at me, the first reaction is, ‘How have you maintained yourself so well?’ They’re surprised that I am still in shape despite marriage and childbirth. I tell them if you want to be in show business, you better look good!

They tell you you’re hot?
That’s the common refrain. ‘My God, you still look awesome.’ It makes me feel great. All the carbs I have not eaten all these years is at last making me feel it was all worth it. But I am amazed how I have been welcomed here — with grace and aplomb.

So, what are you doing in this Sivakarthikeyan movie?
It’s something not seen before here. We have not had the concept of a well-etched out ‘alien’ in Tamil cinema before this. Even in Bollywood, there was Jaadu in Koi... Mil Gaya, that’s it. And even that was more of prosthetics. But this film is all about CG. It’s almost as if two films are being made — one on computer and CG, and one that we are physically shooting.

Any old friends? Favourite stars?
I meet old, and new ones, too. Favourite stars… Arvind Swami is my all-time favourite because I have worked with him. And I used to be quite fond of Ajith back then — I don’t know if he’s still around, though…

And Sivakarthikeyan, your current co-star?
He reminds me so much of a younger version of Rajini sir that sometimes I am taken aback.

Why? Does he emulate Rajinikanth?
No, it’s not because of his mannerisms, or anything. I am not saying he’s consciously trying to emulate Rajini sir, but it’s there. Maybe the hair, the face, the look in the eye, the colour… Something.

There are so many Bollywood heroines trying to make a mark down south now. Will you find your niche?
But there is no action heroine down south, yet. And I fit the bill — I play the femme fatale in this one, and I look like that. Even if I say so myself, I know that I am versatile. People look at my role in Shabri and say, oh, de-glam. But truth is I was made to look de-glam with heavy makeup because I know that I look good without any makeup, too. I used to spend hours scrubbing off all that during Shabri. I also love these kind of dancing and action roles, too. I am a black belt in Taekwondo, and I still practise twice a week, fitness is a passion with me, and that helps.

And the language?
I am good with languages. I can grasp easily, plus, I used to chant Sanskrit mantras when I was young, and that helps with the pronunciation. I encourage all of them on the set to speak to me in Tamil.

So, when you have to emote in a strange language, or that chemistry with a co-star you’ve never heard of before, how does that happen?
The emoting isn’t tough — happiness and sadness have no language. About the co-star, yea, I still don’t know anything about Sivakarthikeyan personally. But thankfully, there’s no love between us in the movie. I am the killing machine and all full of hatred! I look glam, and hot and am the femme fatale. So thankfully, no love and chemistry.

Have you travelled much down south?
I’ve been to Tirupati, and the other day, on the way to the shooting spot, on OMR, I saw all these shoe stores so we zipped in there. I love food from Saravana Bhavan, and Krishna Sweets – I take their mysorepak for the whole city when I go back. (laughs)


What else — what have you been up to all these years?
I’m a full-time mother, now, have a hospitality business, production house, and am also into politics now, having joined the BJP.


Why politics?
I believe we need a strong leader, strict rules and laws. We Indians work only under pressure. If we are told ‘if you don’t do this, you’ll be penalised’, we will do it. We need to be forced into compliance, and hence need strict ruling. Look at all our scriptures, for instance. Most of what’s in them are scientific, but how did they make us follow them? By putting the fear of God in us — ‘If you don’t do this, something bad will happen’…


But there are so many stars out there as politicians…
I don’t care. I believe that because we are celebs, people tend to accept what we do or say sooner than they would an

aam aadmi. That’s why we endorse products. So why not endorse thoughts and ideologies? Why not help the helpless?"
1,"Created: Mar 1, 2019, 00:00 IST",Reema Gowalla,Theatre,What do kids like to do on stage?,"If you think children’s stories are mostly about chocolate factories and Cinderella, a new play is here to prove you wrong. City-based group Theatre Dots is opening a sequel to its well-received drama, Act or Not to Act, in the city this weekend. The new piece, titled Say No to Plays, is filled with scenes of laughter and a few awkward and serious moments. It scrutinises 15 reasons to make one think twice before auditioning for a play.

“Primarily divided in two parts, the play features as many as 30 young artistes, who are constantly in pressure to meet the expectations of their parents while pursuing their dream in performing arts. Obsession and addiction are among the themes that are explored in the course of the play. Six monologues comprise the first half of the performance, while the second half dabbles in questions like what is more important — the depth or prominence of an actor in a scene, or how much he/she has actually enjoyed enacting it,” explains Pooja Singh, writer and director of the play.


Loosely based on an American play series, Say No to Plays “offers a glimpse into teenagers’ private thoughts”. The story aims at making one introspect about the amount of pressure that is mounted on kids. The 80-minute show also includes an original track, the lyrics of which are written by Pooja, and music is composed by two students. It is being staged at Rangasthala auditorium, Rangoli Metro Art Center on March 3."
2,"Created: Mar 1, 2019, 00:00 IST",Prathibha Joy,Movies,‘Yajamana has a strong message for society’,"When Yajamana, produced by Media House Studio, hits theatres today, fans of Challenging Star Darshan will have reason to rejoice, as it brings him back to the big screen after a year-and-a-half. The film, directed by V Harikrishna and P Kumar, pairs Darshan with Rashmika Mandanna and has actors like Tanya Hope, Devaraj, Dhananjaya, P Ravi Shankar and Thakur Anoop Singh, as part of its ensemble cast. Here, Darshan tells us what makes his film a must-watch.

“For starters, I want to clarify that we have not set out to do anything extraordinary. Yajamana is a clean entertainer with the right amounts of action, comedy, romance and drama that will appeal to family audiences. Apart from the fact that it is my film, Yajamana has a strong story and message for society. Cinematographer Sreesha Kuduvalli’s visuals are a highlight and the two tones he has used in different parts of the film are noteworthy. The songs by Harikrishna are an added bonus. Most importantly, you will see a variation in my dialogue delivery,” says Darshan."
3,"Created: Mar 1, 2019, 00:00 IST",Sunayana Suresh,Movies,4 genius home hacks using paper towels!,"So you think the paper towel you have at home is just for wiping and cleaning? Heck, no! There are so many things you can do with them apart from the regular. Here are four genius hacks that will leave you impressed.
Smelly shoe deodorizer

Spread the paper towel on the table and add 3-4 tablespoons of baking soda. Now roll the paper and seal using a rubberband. The next time your shoes smell, prepare such potlis and slide it inside your shoes to free them of the smell.


Empower your wiper
Do you have wooden flooring at home and can't use wet mops? Well, there is an easy hack for that - for which you can use paper towels. Slide and tear a big paper towel and attach it to the bottom of your regular wiper - lock it well to the corner too so it doesn't move. Now spray slight water on it or any disinfectant. Mop the floor and you will see how it magically attracts all the mess, keeping your wooden floor clean and clear.


Use the roll to save plastic bags

What do you do when the paper towel roll gets empty - throw it? Well, do not. The plastic bags that you keep stocking here and there can all be stored inside these rolls without creating any clutter.


Turn it into a cord organiser

Another brilliant use of the empty roll is to use them as cord organiser. Cut them into two and slide your wires/cord inside to keep them safe and detangled.


Aren't paper towels more versatile than you think? Dust, declutter and deodorize!"
4,"Created: Mar 1, 2019, 00:00 IST",Priyanka Dasgupta,Movies,Maneka Gandhi and NCW take cognizance of #MeToo cases,"On Wednesday afternoon, singer Chinmayi Sripada tweeted to Union Minister for Women and Child Development Maneka Gandhi and National Commission for Women (NCW), highlighting that no action has been taken after she named Vairamuthu as her predator in the #MeToo movement. She wrote, “Maam, it’s been 4 months since I named Mr Vairamuthu as my predator. I have since then been banned from work in the TN Film Industry (Dubbing Union). The law as of today doesn’t allow me to file a case. Please give me a solution. @PMOIndia (Sic).” Soon after, Maneka Gandhi replied to her, “I have taken up your case with@NCWIndia. Kindly DM your contact details.” Talking to us, the singer says, “I’m grateful that she responded this time. I’m waiting to see if this will lead to something. The NCW has been given complaints before. They just need to take cognizance of complaints and set up an enquiry commission. They could have easily set up a fact-finding committee and called us and the offenders for an enquiry. We don’t know whose door to knock on. So many playback singers have anonymously taken names of their offenders, but since there’s no action, they are not willing to speak up. Solli enna aaga poradhu? Unakku edhavadhu aacha? (What will happen with sharing our story? Did anything happen from your case?) — that’s what they ask. I hope there is a positive outcome now at least.”

Sruthi hopeful with this move

Meanwhile, Kannada actress Sruthi Hariharan, who had come forth with her #MeToo ordeal against actor-filmmaker Arjun Sarja sees this as a significant step. “Chinmayi has been relentless in her pursuit for the #MeTooIndia movement. She has not only stood her ground and fought her case, but has helped many others share their case. I am glad that she tagged Maneka Gandhi and the Prime Minister’s office in her tweet, because she finally got a reply. There are many cases that have gone to the NCW, so this is a start and I am hoping something comes out of it and people realise that this is something that needs to be taken seriously,” she says.

Sruthi adds, “What is commendable is that Maneka Gandhi has asked political parties to set up Internal Complaints Committees. Every organisation needs one, in every sector. These committees are means by which women can express their voice and concern.”

Unlike Chinmayi, who hadn’t got support from the Tamil Nadu State Women’s Commission, Sruthi did in Karnataka, she says. “The women’s commission had filed a suo moto case, as well as one in the cyber crime cell based on the obscene messages that I received on phone and on social media,” explains Sruthi, who adds that she is currently waiting for the next hearing of the case she has filed against Arjun in a court of law."
5,"Created: Mar 1, 2019, 00:00 IST",Deepa Soman,Movies,Ond Kathe Hella is ready for its date with audiences,"Director Girish G’s anthology of five ‘real’ horror stories is set to release on March 8. The highlight of the screenplay, says Girish, is that every 20 minutes a new chapter begins, ensuring that audiences do not get bored at any point of time. Despite being a horror film, Ond Kathe Hella has been cleared with U/A certification"
6,"Created: Mar 1, 2019, 00:00 IST",Ruman Ganguly,Movies,How much courage does it take to credit a source?,"Does it take away anything from a director’s accolades if he acknowledges a source? Does the stature of a director dip if he shares the writing credits? Does it cost a lot to pay a few lakhs to procure rights of Bengali novels/short stories?The answer is a big No.
That’s something Anurag Kashyap understood when he directed Dev.D. He went to town to acknowledge that he was making a modern-day adapatation of Saratchandra Chattopadhyay novel. No one would have dragged him to court had he not mentioned that. Yet, Anurag spoke about his Saratchandra connection. In our own backyard, Buddhadab Dasgupta directed Dooratwa from Sirshendu Mukherjee’s work. His Tahader Katha was based on Kamal Kumar Majumdar’s story by the same name. While his Uttara was adapted from Samaresh Basu’s work, Charachar was an adaptation of a Prafulla Roy work. More recently, when Aparna Sen directed Arshinagar with Dev as Ranajit Mitra and Rittika Sen as Julekha Khan, she mentioned it was a musical adaptation of William Shakespeare’s Romeo and Juliet.

Unfortunately, there are many who find it too difficult to credit a source. That’s why plagiarism charges have been levelled by fans and family members of authors like Moti Nandi, Atin Bandopadhyay and Suchitra Bhattacharya, among others. In some cases, the similarities are coincidental. In others, there is a lot more than that.
The problem is the culture of silence. Most authors don’t protest for fear of problems. But, they crib in privacy while expecting the world around to fight for their rights. Directors, meanwhile, happily ruin the chances of official adaptation rights being sold to those willing to credit.
LEGENDS ARE USUALLY SPARED
Works of Rabindranath Tagore, Satyajit Ray, Saratchandra Chattopadhyay, Bankim Chandra Chattopadhyay, Saradindu Bandopadhyay, Bibhutibushan Bandopadhyay or Tarashankar Bandopadhyay have largely been credited. When Manas read the three-page Bibhutibushan story titled Taal Nabami, he added some characters and finally, made the 90-minute-long Sahaj Paather Gappo. “It is all about an individual’s ethics. To each his own. For me, giving credit — however little I take from a novel or story — is my duty and responsibility,” says Manas.

IS IT AN EGO ISSUE?

Perhaps, ego plays an important role. “Even Sunil Gangopadhyay was not spared. An internationally-reputed director had lifted some portions from his Shei Samay while making a movie. Not just films, Bengali serials too have cases where the original writers weren’t credited. A few years back, Atin Bandopadhyay’s Neel Kantha Pakhir Khonje was telecast as a popular serial without acknowledging him. Such controversies were unheard of with directors like Ray, Ghatak or Mrinal Sen. Today’s Tollywood directors try to place themselves in a position which does not rightfully belong to them. They also ignore the financial aspect,” says author Prabal Kumar Basu.


TOLLYWOOD’S FIRST-BOY SYNDROME

Some directors also end up measuring the extent of the inspiration. But that’s not the point, insists Buddhadeb. “I adapted Mondo Meyer Upakhyan from Prafulla Roy’s short story by the same name. I made Grihajuddha from Dibyendu Palit’s Maach. I made Tope from Narayan Gangopdhyay’s work. In all these cases, I changed a lot from the original works. Trust me, it takes away nothing from a director’s skill if the writing credit goes to someone else. Nobody thought of me as any less of a director for adapting Maach,” says Buddhadeb. This “first-boy syndrome”, he says, is doing harm to the industry. “It’s not that great movies are being made when sources remain undisclosed,” adds Buddhadeb.


DOES EVERYONE WANT TO BE A NEW-AGE RAY?

Just as a bohemian attitude can’t turn a director into Ritwik Ghatak, being a writer-director too can’t thrust the genius of Ray on makers. Many don’t realise that Bengal still has a fair share of bookworms who can easily identify sources. Some years ago, authors like Sirshendu Mukherjee and Debesh Roy had written to Bangladesh’s information ministry to protest when plagiarism charges were levelled on the makers of Brihannala in Bangladesh for copying Syed Mustafa Siraj’s Gachta Bolecilo. Subsequently, the Bangladesh government cancelled three national film awards bestowed upon Brihannala. Abhijit Siraj, the author’s son, says, “This wouldn’t have happened without a protest. Silence is a crime. Such plagiarism will continue if an author doesn’t have a spine to stand up for his rights.”


Well, is everyone listening?"
7,"Created: Mar 1, 2019, 00:00 IST",Zinia Sen,Movies,‘I had a Malayalam connection right from my Telugu debut’,"The shoot of veteran director Kamal’s next film Pranaya Meenukalude Kadal is on in Lakshadweep and its lead actress Riddhi Kumar is having a gala time on the set, picking up new skills, conversing in Malayalam and more.

The Maharashtra-born actress, who debuted last year in Telugu through the film Lover with Raj Tarun, is, however, no alien to Malayalam.


“I played a Malayali nurse in my Telugu debut and still remember lines like Enikku Ee Kalyanam Venda,” Riddhi says, with no hint of difficulty. She adds, “And that was a short line. There were longer lines I had to say, but actress Rohini maam, who was also part of the film, helped me out immensely. I remember a few other words too, like manasilaayi,” says the actress who has done two films in Telugu.

Riddhi isn't allowed to speak much about her character, but she discloses she had to be “friendly” with the waters a lot more than she was, till then. “I learnt to swim in the pool but doing the same in sea water was a lot more challenging. It remained scary for a long time but I guess after that first push, I gradually learnt to tame it,” says the actress, who is happy she is getting a lot of help from her crew to learn Malayalam, as well.

“My favourite Malayalam word is poocha!” says Ridhi, who apparently befriended a black-coloured kitten who kept hanging around her room and sets during the shoot. “I named her poocha and as I am a vegetarian, I also feed her whatever fish we get with our tiffin,” she says with a chuckle."
8,"Created: Mar 1, 2019, 00:00 IST",Sunayana Suresh,Movies,Mahalaya will go down in the history of Bengali cinema for its subject: Jisshu,"He’s playing Uttam Kumar in Soumik Sen’s debut Bengali film, Mahalaya. In a chat with us, Jisshu U Sengupta talks about his experience of playing the legend, childhood memories of Mahalaya, working with the new director and the film. Excerpts:
What was your first reaction when Soumik approached you to play Uttam Kumar?

When I heard the script, I was blown away, as I was not aware of the 1976 incident when Uttam Kumar had replaced Birendra Krishna Bhadra’s voice in Mahishasura Mardini. Initially, I was jittery at the thought of playing the legend. But I later realised the film is much more than that.


How challenging was it to step into the shoes of the legend?
I’ve played the character in my own way and I request everyone to not compare me with the stalwart. My mother-in-law told me how Uttam Kumar was as a person. She said Uttam babu was witty, big-hearted, a foodie and always eager to help the technicians. These details helped me portray him better. Not for once did I try to copy him.

Tell us about the film.

The film explores the psyche behind the government’s decision to replace Birendra Krishna Bhadra and tries to answer some popular queries — did Uttam Kumar do it willingly and what was Birendra Krishna Bhadra’s reaction? Did they actually have a fight over this?


How was it working with Soumik?

He is a very sorted director, completely chilled out on the sets. He knows exactly what he wants from his team. It needs courage to make a film like this, so kudos to Bumbada (Prosenjit Chatterjee) for taking the initiative. Not for once did he interfere with the script or anything related to the film. I don’t know how much money the film will make at the box office but it will surely go down in the history of Bengali cinema for its subject. Subhasish Mukhopadhyay’s performance as Birendra Krishna Bhadra is just brilliant.


Do you listen to Mahishasura Mardini on Mahalaya?

Oh yes! During my childhood, Ma would wake me up early morning and I’d invariably fall asleep after listening to it for half an hour or so. Mahalaya meant no studies, so that used to be fun."
9,"Updated: Mar 1, 2019, 12:28 IST",Divya Kaushik,Movies,I’m grateful that Swapnamoy has revised his view: Kaushik Ganguly,"A day after social media turned into a warzone what with allegations of plagiarism levelled against Kaushik Ganguly’s Nagarkirtan, it has gone all quiet on the virtual front. Author Swapnamoy Chakraborty, who also spoke to CT after many pointed out the similarities between the novel, Holde Golap and the film, made a U-turn after watching it on Wednesday. “It’s not a cinematic adaptation of my film,” he said.


Said the author, “I was wary as I had heard about Abul Bashar’s incident, where he felt that his Naram Hridoyer Chinho was plagiarised in Shunyo E Buke. Also, many said Khaad bore resemblances with a film. That’s why I had given the post.” Chakraborty attributed the similarities with a few common sources. “I spoke to several people and also did field survey while penning the story; chances are, Kaushik Ganguly spoke to the same people. If Kaushik today says he hasn’t read my book, I won’t be able to say he’s lying,” said the author.


Chakraborty, who says the credits appeared on the screen for a fleeting two seconds, said it could have lingered on for a bit more time. “While writing my novel, I spoke to Manabi Bandopadhyay, among others. She gave me valuable inputs. Looks like, she has provided a lot of matter to Kaushik too. But at the end of it, it’s a love story that mine is not. Having said that, I will never disrespect the views of those who pointed out the similarities.” Said Kaushik, “What he had said was out of his concerns about his novel. Though it’s sad that he couldn’t keep faith in me, I am grateful that he finally watched the film and revised his statement. But I’m far more worried about those who aren’t Swapnamoy Chakraborty and made one post after another on social media. During mob violence, the target is sometimes tied to the lamppost and even passers-by, without knowing what is happening, pelt stones at him. Social media has become a violent place. The ones writing against me are those for whom I make films. And every story of mine can be similar to another story happening in some part of the world. I write stories out of my own experiences and another person may be going through the same at some point in time. All I want to say is, think before you act. For tomorrow, you may have to regret for what you are

doing today.”"
